评论ID,原始评论,清洗后纯评论（无地名/无新增词）,核心分词（无地名/无新增词）,核心分词字符串（无地名/无新增词）,情感分析结果,解析
26,只喜欢好看的.,只喜欢好看的.,"['喜欢', '好看']",喜欢 好看,0,该评论仅表达了个人偏好“只喜欢好看的”，没有使用明显的情感词汇，也未对任何对象进行褒贬评价，属于陈述个人标准的客观表达，情感倾向不明显。
23,我会剪纸的你要我就给你做,我会剪纸的你要我就给你做,"['我会', '剪纸']",我会 剪纸,1,该评论表达了主动提供帮助的意愿，使用“我会剪纸的你要我就给你做”这样积极友好的措辞，体现了分享和乐于助人的态度，整体情感倾向为正面。
25,谁记得《边城》里的傩送，让我第一次了解“傩”这个字关联的文化；然后就是剑网3里的同人外观“揽诸”啦，宣传视频很好看嘟,谁记得边城里的傩送，让我第一次了解傩这个字关联的文化；然后就是剑网3里的同人外观揽诸啦，宣传视频很好看嘟,"['记得', '城里', '第一次', '了解', '关联', '文化', '然后', '剑网', '同人', '外观', '宣传', '视频', '好看']",记得 城里 第一次 了解 关联 文化 然后 剑网 同人 外观 宣传 视频 好看,1,评论通过“第一次了解傩这个字关联的文化”和“宣传视频很好看嘟”等表述，表达了对文化元素的欣赏和对游戏内容的喜爱，整体情感积极且带有分享的愉悦感。
27,梁月！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,梁月！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,['梁月'],梁月,1,评论通过大量感叹号表达强烈的情感，通常用于表达兴奋、喜爱或激动。结合“梁月”这一称呼，可推断用户对相关角色或内容抱有高度热情和积极态度，整体情感倾向为正面。
29,现在很多传统的东西小孩子都不知道，就像我们云南80后，以前元宵节和三月三地方政府都会举办戏剧表演，我孩子现在十一二岁了都没见过唱戏的,现在很多传统的东西小孩子都不知道，就像我们云南80后，以前元宵节和三月三地方政府都会举办戏剧表演，我孩子现在十一二岁了都没见过唱戏的,"['很多', '传统', '东西', '小孩子', '80', '以前', '元宵节', '三月', '地方', '政府', '举办', '戏剧', '表演', '孩子', '十一二岁', '没见', '唱戏']",很多 传统 东西 小孩子 80 以前 元宵节 三月 地方 政府 举办 戏剧 表演 孩子 十一二岁 没见 唱戏,-1,评论通过对比过去与现在的文化传承状况，表达了遗憾和担忧的情绪。“都不知道”、“都没见过”等表述暗示了对传统文化缺失的不满，整体情感倾向为负面。
24,老师竟然带我们道诡玩,老师竟然带我们道诡玩,"['竟然', '诡玩']", 诡玩,1,评论中“道诡玩”可能指代《道诡异仙》游戏或相关活动，使用“竟然带我们”表达惊喜和兴奋，整体语气积极，体现了对老师组织活动的赞赏和参与热情。
30,能不能来一期龙族啊爷爷,能不能来一期龙族啊爷爷,"['不能', '一期', '龙族', '爷爷']",不能 一期 龙族 ,1,评论以“爷爷”作为亲切称呼，表达了用户对内容创作者的喜爱和期待，同时“能不能来一期”带有请求和希望的语气，整体情感积极友好。
32,不睡觉就会死星人,不睡觉就会死星人,"['睡觉', '星人']",睡觉 星人,0,该评论仅描述了一个虚构的群体特征“不睡觉就会死星人”，没有表达明确的情感倾向，既无赞美也无批评，属于中性陈述。
36,感觉有点恐怖,感觉有点恐怖,"['有点', '恐怖']",有点 恐怖,-1,该评论使用了“恐怖”这一带有负面情绪的词汇，直接表达了对内容的不安或恐惧感受，整体情感倾向为负面。
33,非遗永存好不好？,非遗永存好不好？,"['非遗', '永存', '好不好']",非遗 永存 ,1,评论中“非遗永存”表达了对非物质文化遗产传承的强烈支持，“好不好”带有呼吁和肯定的语气，整体传递出积极、珍视的情感倾向。
31,合伙人来支持啦,合伙人来支持啦,"['合伙人', '支持']",合伙人 支持,1,评论中“支持啦”表达了明确的积极态度和鼓励意愿，使用“合伙人”这一称呼体现了亲近感和认同感，整体传递出友好、肯定的情感倾向。
34,是的，这是非遗,是的，这是非遗,"['这是', '非遗']",这是 非遗,0,该评论仅陈述事实“这是非遗”，没有表达个人情感或评价，缺乏明显的积极或消极词汇，因此情感倾向为中性。
37,好高级的博主，我觉得你一定会火的,好高级的博主，我觉得你一定会火的,"['好', '高级', '博主', '一定', '会火']",好 高级 博主 一定 会火,1,该评论使用了“好高级”、“一定会火”等积极词汇，表达了对博主的赞赏和对其未来发展的信心与期待，整体情感倾向明显为正面。
35,景贝是亲情,景贝是亲情,"['景贝', '亲情']",景贝 亲情,0,该评论仅陈述“景贝是亲情”这一事实性观点，未使用明显的情感词汇或表达个人态度，属于客观描述，无明显情感倾向。
42,好酷,好酷,['好酷'],好酷,1,"评论中使用了""好酷""这一积极词汇，表达了对内容的赞赏和喜爱，整体情感倾向明显为正面。"
43,美味可口可乐我爱喝大杯,美味可口可乐我爱喝大杯,"['美味', '可口可乐', '爱喝']",美味 可口可乐 爱喝,1,该评论使用了“美味可口”、“我爱喝”等积极词汇，表达了对可口可乐的喜爱和享受，整体情感倾向明显为正面。
38,家人们，都给我看我不是戏神,家人们，都给我看我不是戏神,"['人们', '戏神']",人们 戏神,1,该评论使用了“家人们”这一亲切称呼和“都给我看”这一强烈推荐语气，表达了对《我不是戏神》内容的热情推荐和喜爱，整体情感倾向为正面。
41,想到了戏神,想到了戏神,"['想到', '戏神']", 戏神,0,该评论仅提及“想到了戏神”，是一种联想或回忆的表达，没有明显的积极或消极情感词汇，也未体现对事物的评价或情绪倾向，因此判断为中性。
44,老师还有一个归龙潮,老师还有一个归龙潮,"['一个', '归龙潮']",一个 归龙潮,0,该评论仅提及“老师还有一个归龙潮”，属于客观陈述信息，没有表达明确的情感倾向或评价性词汇，因此判断为中性情感。
39,好漂亮阿，  美呀,好漂亮阿， 美呀,"['好', '漂亮', '美']",好 漂亮 美,1,评论中使用了“好漂亮”、“美呀”等直接表达赞美和欣赏的积极词汇，传达出对描述对象的喜爱和肯定，整体情感倾向明显为正面。
45,梁月！梁警官！,梁月！梁警官！,"['梁月', '警官']",梁月 警官,1,评论中重复呼唤“梁月！梁警官！”，语气充满热情与喜爱，表达了对角色的强烈认同和关注，整体情感倾向为正面。
40,日本想偷来着，比如东京奥运会，没想到，只得其表，不得其精髓啊,日本想偷来着，比如东京奥运会，没想到，只得其表，不得其精髓啊,"['偷来', '比如', '东京', '奥运会', '没想到', '只得', '其表', '不得', '精髓']",偷来 比如 东京 奥运会 没 只得 其表 不得 精髓,-1,该评论通过“想偷”、“只得其表，不得其精髓”等表述，明确表达了对日本行为的讽刺和批评，认为其模仿不成功，带有明显的贬义和不满情绪，整体情感倾向为负面。
49,要幸福,要幸福,"['要', '幸福']",要 幸福,1,该评论使用了“要幸福”这一祝福性表达，传递出对他人或事物的美好祝愿，体现了积极、温暖的情感态度，整体情感倾向为正面。
50,去哪里学啊很好奇,去哪里学啊很好奇,"['哪里', '', '好奇']",哪里  好奇,0,"该评论表达了好奇和询问的态度，使用了""很好奇""这样的中性词汇，没有明显的积极或消极情感表达，整体属于中性评论。"
46,我有一只小猫,我有一只小猫,"['一只', '小猫']",一只 小猫,0,该评论仅陈述了“我有一只小猫”这一事实，没有使用任何表达情感倾向的词汇，也未体现出明显的喜爱、厌恶或其他情绪，因此属于中性陈述。
48,喜欢在各个圈子里乱逛的某人,喜欢在各个圈子里乱逛的某人,"['喜欢', '各个', '圈子里', '乱逛', '某人']",喜欢 各个 圈子里 乱逛 某人,0,该评论仅描述了个人行为习惯，没有表达明显的积极或消极情绪，属于客观陈述，情感倾向为中性。
47,《混的约定之放学别走》,混的约定之放学别走,"['约定', '放学']",约定 放学,0,该评论仅提及“混的约定之放学别走”，这是一个具体的事件或行为描述，没有使用明显的积极或消极词汇来表达情感态度，也未体现明确的褒贬倾向，因此整体情感倾向为中性。
58,九批来支持了！,九批来支持了！,"['九批', '支持']",九批 支持,1,该评论使用了“支持了”这一积极词汇，表达了对目标对象的明确支持和鼓励，整体情感倾向为正面。
51,"全认识的最棒了୧( ""̮ )୨✧ᐦ̤","全认识的最棒了( "" )","['认识', '棒']",认识 棒,1,评论中使用了“最棒了”这一明确的积极评价词汇，表达了强烈的赞赏和喜爱之情。结合“全认识的”这一限定，整体情感是正面且充满热情的。
59,最讨厌肖邦与巴赫,最讨厌肖邦与巴赫,"['讨厌', '肖邦', '巴赫']",讨厌 肖邦 巴赫,-1,该评论使用了“最讨厌”这一强烈否定词汇，直接表达了对肖邦与巴赫的厌恶情绪，情感倾向明确为负面。
53,看得我鼻子一酸。。,看得我鼻子一酸。。,"['看得', '鼻子', '一酸']",看得 鼻子 一酸,-1,评论中“鼻子一酸”是表达悲伤、感动或难过的常见说法，通常与负面情绪相关，暗示内容触发了观看者的伤感或同情心，整体情感倾向为负面。
57,多支持，多推荐中国的东西还好现在有正能量，中国的文化历史不拍这些长时间都遗忘了，都快,多支持，多推荐中国的东西还好现在有正能量，中国的文化历史不拍这些长时间都遗忘了，都快,"['支持', '推荐', '中国', '东西', '还好', '能量', '中国', '文化', '历史', '长时间', '遗忘']",支持 推荐 中国 东西 还好 能量 中国 文化 历史 长时间 遗忘,1,评论中“多支持，多推荐中国的东西”、“正能量”等表述体现了对中国文化的积极肯定和自豪感，整体情感倾向为正面，表达了鼓励传播和传承中国文化的态度。
54,谁懂京剧猫出来的救赎感,谁懂京剧猫出来的救赎感,"['京剧', '出来', '救赎']",京剧  救赎,1,评论中“救赎感”一词带有强烈的积极情感色彩，表达了从《京剧猫》中获得的情感慰藉或精神满足。“谁懂”的感叹句式增强了共鸣和赞赏的语气，整体传达出对作品的喜爱和感动。
56,谁懂自己爱看的全在一个视频里的救赎感,谁懂自己爱看的全在一个视频里的救赎感,"['自己', '爱看', '一个', '视频', '救赎']",自己 爱看 一个 视频 救赎,1,评论中“救赎感”一词带有强烈的积极情感色彩，表达了将喜爱的内容集中在一个视频里所带来的满足和愉悦，整体传递出欣喜和感激的情绪。
52,非遗传承还得靠二次元！崩铁的赛博念经，不良人唢呐丈母娘等等,非遗传承还得靠二次元！崩铁的赛博念经，不良人唢呐丈母娘等等,"['非遗', '传承', '二次元', '崩铁', '赛博', '念经', '不良', '唢呐', '丈母娘', '等等']",非遗 传承 二次元 崩铁 赛博 念经 不良 唢呐 丈母娘 等等,1,评论通过“非遗传承还得靠二次元”等表述，将传统文化与流行文化结合，使用“赛博念经”、“不良人唢呐丈母娘”等创新性、趣味性的词汇，表达了对这种融合形式的认可和赞赏，整体情感积极。
55,小说不是一次元的吗,小说不是一次元的吗,"['小说', '一次']",小说 一次,0,该评论仅对“小说”与“一次元”的关联提出疑问或进行事实性陈述，没有使用明显表达喜好、赞赏或批评的词汇，不带有强烈的情感色彩，因此属于中性评论。
60,圆宝^（求推荐版,圆宝（求推荐版,"['圆宝', '推荐']",圆宝 推荐,0,该评论仅包含用户昵称和“求推荐版”的表述，没有表达对具体内容的评价或情感倾向，属于中性陈述。
61,不知道为啥有一种很诡异的感觉,不知道为啥有一种很诡异的感觉,"['为啥', '一种', '诡异']",为啥  诡异,-1,评论中“很诡异的感觉”带有明显的不安和负面情绪，暗示对内容或情境的不适与困惑，整体表达了一种消极的主观感受。
62,妈呀良作无人太权威了这个也,妈呀良作无人太权威了这个也,"['妈呀', '良作', '无人', '权威']", 良作 无人 权威,1,评论中使用了“妈呀”表示惊叹，“良作无人太权威了”表达了对作品品质的高度认可和赞赏，整体语气积极，情感倾向明显为正面。
63,神经病康复中心,神经病康复中心,"['神经病', '康复中心']",神经病 康复中心,-1,该评论使用“神经病康复中心”这一带有贬义和讽刺意味的词汇，通常用于攻击或贬低他人，隐含强烈的负面情绪和攻击性，整体情感倾向为负面。
64,怎么感觉哪里不对,怎么感觉哪里不对,['哪里'],哪里,0,"该评论表达了不确定和疑惑的情绪，使用""怎么感觉哪里不对""这样的表述，但没有明确的积极或消极倾向，更多是对某种情况的观察和疑问，属于中性情感。"
65,梁月！重返未来终于有人看到了么,梁月！重返未来终于有人看到了么,"['梁月', '重返', '未来', '终于', '有人', '看到']",梁月 重返 未来 终于 有人 看到,1,评论中使用了感叹号和“终于有人看到了么”的表达，传递出对“梁月”角色被关注的欣喜与期待，整体情感积极正面。
72,在铜仁看到的,在铜仁看到的,"['铜仁', '看到']",铜仁 看到,0,该评论仅陈述在“铜仁”看到某内容的事实，没有表达任何积极或消极的情感倾向，属于中性陈述。
68,终于有人记得我们99玩家了,终于有人记得我们99玩家了,"['终于', '有人', '记得', '99', '玩家']",终于 有人 记得  玩家,1,该评论表达了“终于有人记得”的欣慰和感激之情，特别是针对“99玩家”这一特定群体，体现了被关注和重视的积极感受，整体情感倾向为正面。
67,七重烧烤yu(见过华晨宇版,七重烧烤yu(见过华晨宇版,"['七重', '烧烤', 'yu', '见过', '华晨', '宇版']",七重 烧烤 yu 见过 华晨 宇版,0,该评论仅提及“七重烧烤yu”和“华晨宇版”的关联，属于客观陈述或引用，未表达明确的情感倾向或评价，因此判断为中性。
74,闪护洗护清洁旗舰店,闪护洗护清洁旗舰店,"['闪护', '洗护', '清洁', '旗舰店']",闪护 洗护 清洁 旗舰店,0,该评论仅为店铺名称的陈述，未包含任何情感色彩或评价性词汇，仅作为信息提及，无明显正面或负面情绪表达。
70,桃源也做过傩文化的,桃源也做过傩文化的,"['桃源', '文化']",桃源 文化,0,该评论仅陈述了“桃源也做过傩文化的”这一事实，没有使用明显的情感词汇或表达个人态度，属于客观陈述，因此情感倾向为中性。
66,还以为不火了  原来来早了,还以为不火了 原来来早了,"['以为', '不火', '原来']",以为 不火 原来,0,该评论表达了对内容热度变化的观察，使用“还以为不火了”和“原来来早了”等中性表述，没有明显的积极或消极情绪，更多是陈述个人发现或时间上的错位感，整体情感倾向为中性。
69,垂一只兔耳,垂一只兔耳,"['一只', '兔耳']",兔耳,0,该评论仅描述了“垂一只兔耳”这一具体形象，没有表达明确的情感态度或价值判断，缺乏积极或消极的情感词汇，属于客观描述性内容，因此情感倾向为中性。
73,幻梦都破碎,幻梦都破碎,"['幻梦', '破碎']",幻梦 破碎,-1,评论中“幻梦都破碎”使用了“破碎”这一带有强烈失落和消极色彩的词汇，暗示了美好期望或想象的破灭，整体表达出一种失望、悲伤或幻灭的负面情绪。
76,“神不记得我，我的神会保佑我”,神不记得我，我的神会保佑我,"['记得', '神会', '保佑']",记得 神会 保佑,1,该评论表达了坚定的信仰和积极的精神寄托，通过“我的神会保佑我”传递出希望与信心，整体情感倾向为正面。
71,婀娜多姿的包装袋,婀娜多姿的包装袋,"['婀娜多姿', '包装袋']",婀娜多姿 包装袋,1,评论中“婀娜多姿”一词通常用于形容姿态优美、富有韵味的女性或事物，带有明显的赞美和欣赏意味。该词用于描述包装袋，表达了对包装设计的喜爱和正面评价，整体情感倾向为正面。
75,当时和大成拍照传播非遗的就是博主吗!,当时和大成拍照传播非遗的就是博主吗!,"['当时', '大成', '拍照', '传播', '非遗', '博主']",当时 大成 拍照 传播 非遗 博主,1,评论中使用了“传播非遗”这一积极表述，表达了对博主行为的认可和赞赏，整体情感倾向为正面。
77,最重要的面具你咋不带,最重要的面具你咋不带,"['重要', '面具', '不带']",重要 面具 不带,-1,"评论中使用了""咋不带""这一带有质问和不满语气的表达，暗示对对方未佩戴重要面具的批评和失望，整体情感倾向为负面。"
78,99，求某某,99，求某某,"['', '99', '某某']",  某某,1,评论中“99”是网络用语，表示“久久”或长长久久的美好祝愿，“求某某”则表达了强烈的喜爱和期待，整体传递出积极支持的情感倾向。
82,老祖宗还是太全面啦,老祖宗还是太全面啦,"['老祖宗', '全面']",老祖宗 全面,1,评论中“老祖宗”带有尊敬意味，“太全面啦”使用了感叹语气和积极词汇，表达了对传统文化或智慧的赞赏与自豪感，整体情感倾向为正面。
79,ෆ”云辞“ꪔ̤̱（以闪）,云辞（以闪）,"['云辞', '以闪']",云辞 以闪,0,该评论仅提及角色名称“云辞”和游戏“以闪”，未表达任何情感态度或评价，属于单纯的事实陈述，没有明显的情感倾向。
83,下期做欲言难止好吗,下期做欲言难止好吗,"['下期', '做欲言', '难止', '好']",下期 做欲言 难止 好,1,该评论以请求的语气表达了对特定内容（“欲言难止”）的期待和喜爱，“好吗”一词带有希望被采纳的积极诉求，整体情感倾向为正面。
85,1周前·北京,1周前北京,['周前'],周前,0,该评论仅提供了时间地点信息，未表达任何主观评价或情感倾向，属于客观陈述，因此情感倾向为中性。
84,毕设就做了傩戏的ip设计,毕设就做了傩戏的ip设计,"['毕设', '傩戏', 'ip', '设计']",毕设 傩戏 ip 设计,0,该评论仅陈述了个人毕设内容涉及傩戏IP设计的事实，未使用明显情感词汇或表达主观评价，属于客观陈述，因此情感倾向为中性。
87,小馨呆萌灵灵,小馨呆萌灵灵,"['小馨', '萌灵灵']",小馨 萌灵灵,1,该评论使用了“呆萌”、“灵灵”等可爱、活泼的形容词，这些词汇带有明显的喜爱和赞赏色彩，表达了对角色或人物的积极情感，整体情感倾向为正面。
80,哇哇哇，居然有吴邪宝宝,哇哇哇，居然有吴邪宝宝,"['哇哇', '居然', '吴邪', '宝宝']",哇哇 居然 吴邪 ,1,评论中使用了“哇哇哇”等感叹词表达惊喜，并称呼角色为“宝宝”体现喜爱之情，整体语气充满兴奋和积极情感，明显为正面倾向。
86,能不能弄一次针锋对决的,能不能弄一次针锋对决的,"['不能', '一次', '针锋', '对决']",不能 一次 针锋 对决,0,该评论仅提出一个关于联动内容的建议或询问，使用了“能不能”这样的中性表达，没有明显的积极或消极情感词汇，整体态度较为客观，属于中性评论。
81,溺于你眼底,溺于你眼底,"['溺于', '眼底']",溺于 眼底,1,该评论使用了“溺于”这一富有诗意和浪漫色彩的词汇，表达了一种沉浸、沉醉于对方眼底的深情与喜爱，整体情感倾向为正面，传达了温柔、欣赏的情感。
88,陈伶！梁月！以闪太好了三坑人有救了,陈伶！梁月！以闪太好了三坑人有救了,"['陈伶', '梁月', '以闪', '太好了', '坑人', '有救']",陈伶 梁月 以闪 太好了 坑人 有救,1,评论中“太好了”和“有救了”表达了强烈的积极情绪，体现了对游戏角色和内容的喜爱与认可，整体情感倾向为正面。
89,每个都如此完美适配,每个都如此完美适配,"['每个', '如此', '完美', '适配']",每个 如此 完美 适配,1,评论中使用了“完美适配”这一高度肯定的表达，强调了对内容的充分认可和满意，传达出强烈的赞赏态度，整体情感倾向明显为正面。
90,酱子贝早点睡，换我来爱吧,酱子贝早点睡，换我来爱吧,"['酱子贝', '早点', '换']",酱子贝 早点 换,1,评论中“换我来爱吧”表达了强烈的喜爱和主动亲近的意愿，带有宠溺和积极的情感色彩，整体传递出对“酱子贝”的关心与支持，因此情感倾向为正面。
92,好了 今天认识一个新字,好了 今天认识一个新字,"['好', '认识', '一个', '新字']",好 认识 一个 新字,0,该评论仅陈述了“认识一个新字”的事实，没有使用明显的情感词汇或表达态度，属于中性陈述，没有表现出积极或消极的情感倾向。
91,时辰辰小可爱,时辰辰小可爱,"['时辰', '小可爱']",时辰 小可爱,1,该评论使用了“小可爱”这一亲昵称呼，带有明显的喜爱和赞赏意味，表达了对“时辰辰”的积极情感倾向，整体情感为正面。
93,扶桑［do Mineraft ］,扶桑do Mineraft,"['扶桑', 'do', 'Mineraft']",扶桑 do Mineraft,0,该评论仅提及“扶桑do Mineraft”，内容为简单的名称或短语组合，没有表达明确的情感态度或价值判断，缺乏积极或消极的情感词汇，因此整体情感倾向为中性。
95,不管天气好不好，幸福好不好(υ . . υ) ❅·°,不管天气好不好，幸福好不好( . . ),"['不管', '天气', '好不好', '', '幸福', '好不好']",不管 天气   幸福 ,0,该评论使用了模糊的表述“不管天气好不好，幸福好不好”，带有省略号和表情符号，整体语气较为平静，没有明确表达积极或消极情绪，更多是一种随性的感慨，因此判断为中性。
98,我在哭,我在哭,[''],哭,-1,该评论直接表达了哭泣的情绪，通常与悲伤、失望或痛苦等负面情感相关联，暗示了评论者当前处于消极的心理状态，整体情感倾向为负面。
94,来个佩奇文,来个佩奇文,"['来个', '佩奇']",来个 佩奇,0,该评论仅提出“来个佩奇文”的请求，未包含明显的情感词汇或评价性内容，仅表达一种需求或建议，没有表现出积极或消极的情绪倾向，因此判断为中性。
97,第一次认识这个字还是因为沈从文的边城,第一次认识这个字还是因为沈从文的边城,"['第一次', '认识', '因为', '沈从文', '边城']",第一次 认识  沈从文 边城,0,该评论仅陈述了个人认知来源，提及沈从文作品《边城》作为初次了解某个字的契机，未表达明显褒贬或情绪倾向，属于中性叙述。
96,居然有京剧猫,居然有京剧猫,"['居然', '京剧']",居然 京剧,1,评论中“居然有”表达出惊喜和意外的积极情绪，结合“京剧猫”这一具体内容，整体传达了发现喜爱元素的愉悦感，情感倾向为正面。
99,动感光波biubiu~,动感光波biubiu,"['动感', '光波', 'biubiu']",动感 光波 biubiu,0,该评论仅使用了“动感光波biubiu”这一网络流行语或拟声词，未表达明确的情感立场或评价内容，缺乏积极或消极的情感指向，因此整体情感倾向为中性。
101,“我终于等到你了”99,我终于等到你了99,"['终于', '等到', '', '99']",终于 等到  ,1,评论中“终于等到你了”表达了强烈的期待和喜悦之情，数字“99”在网络语境中常象征长久或庆祝，整体传递出积极、兴奋的情感，属于正面评价。
103,我们也有傩戏！坐标安徽池州贵池,我们也有傩戏！坐标安徽池州贵池,"['傩戏', '坐标', '池州', '贵池']",傩戏 坐标 池州 贵池,1,该评论以自豪的语气介绍家乡文化，使用“我们也有”表达归属感和积极展示，整体情感倾向为正面，体现了对本土传统文化的认同与推广意愿。
100,安然的青春！,安然的青春！,"['安然', '青春']",安然 青春,1,"该评论使用了感叹号和""青春""这一充满怀念与美好联想的词汇，表达了对""安然""所代表的青春时光的肯定与赞美，整体情感积极向上。"
104,小鱼快快游,小鱼快快游,"['小鱼', '快快']",小鱼 快快,0,该评论仅包含“小鱼快快游”这一简短表述，没有明显的积极或消极情感词汇，也未表达任何具体观点或评价，无法判断其情感倾向，属于中性评论。
105,我要活下来,我要活下来,"['我要', '下来']",我要 下来,0,该评论仅表达了“我要活下来”的生存意愿或目标陈述，未使用明显积极或消极的词汇，也未涉及具体情境评价，因此情感倾向为中性。
108,极品苹果醋,极品苹果醋,"['极品', '苹果醋']",极品 苹果醋,0,该评论仅提及产品名称“极品苹果醋”，没有使用任何情感词汇或表达个人态度，属于客观陈述，无明显情感倾向。
