微博 ID,评论者昵称,评论内容,评论时间,cleaned_content,segmented_content,情感分析结果,解析
4983551530107912,偷蝉,厉害了,Wed Dec 27 18:58:20 +0800 2023,厉害了,厉害,1,该评论使用“厉害了”这一网络流行语，通常用于表达对某人或某事的赞赏和惊叹，带有明显的积极情感色彩，整体情感倾向为正面。
4983551530107912,伏狸霾霾丶,图6那个琴好漂亮[憧憬],Wed Dec 27 16:54:57 +0800 2023,图6那个琴好漂亮,琴好 漂亮,1,评论中使用了“好漂亮”这一积极词汇，直接表达了对图中物品（琴）的赞美和喜爱，体现了明显的正面情感倾向。
4983551530107912,雾月Aurora,古物联动[熊猫][熊猫],Wed Dec 27 15:22:12 +0800 2023,古物联动,古物 联动,0,该评论仅提及“古物联动”这一事实，未使用任何情感词汇或表达个人态度，属于客观陈述，没有明显的情感倾向。
5204915211208615,大美遂,让汤公文化焕发新生机,Fri Aug 29 22:15:46 +0800 2025,让汤公文化焕发新生机,汤公 文化 焕发 生机,1,该评论使用了“焕发新生机”这一积极表达，体现了对汤公文化传承与发展的肯定和期待，整体情感倾向为正面。
5204915211208615,cakeiie21,二次元与传统文化的碰撞[点赞],Fri Aug 29 10:21:52 +0800 2025,二次元与传统文化的碰撞,二次元 传统 文化 碰撞,0,该评论仅描述了“二次元与传统文化的碰撞”这一现象或主题，没有使用明显的情感词汇，也未表达个人喜好或评价，属于客观陈述，因此情感倾向为中性。
4983551530107912,聆音山海,真的很不错诶,Wed Dec 27 18:19:51 +0800 2023,真的很不错诶,不错,1,评论中使用了“真的很不错诶”这样的积极表达，其中“很不错”直接表示赞赏，“诶”带有亲切和惊喜的语气，整体传递出明显的满意和喜爱之情。
5204915211208615,花果山_孙悟空,俺老孙也想穿越玩一遭，汤公文化果然历久弥新！,Fri Aug 29 09:48:29 +0800 2025,俺老孙也想穿越玩一遭 汤公文化果然历久弥新,老孙 穿越 一遭 汤公 文化 历久弥新,1,评论中“俺老孙也想穿越玩一遭”表达了强烈的参与愿望和兴趣，“汤公文化果然历久弥新”则直接赞扬了文化的持久魅力与价值，整体充满积极、赞赏的情感倾向。
4983548156578669,修狗没有心事,这样的联动希望多来一点[鼓掌][鼓掌],Wed Dec 27 15:19:49 +0800 2023,这样的联动希望多来一点,联动 希望 多来,1,"该评论表达了""希望多来一点""的明确期待，使用积极语气表达对联动内容的喜爱和支持，整体情感倾向为正面。"
4983549768239760,嗜煗201502,好漂亮！[哆啦A梦吃惊],Wed Dec 27 23:15:28 +0800 2023,好漂亮,漂亮,1,该评论使用了“好漂亮”这一积极词汇，直接表达了对事物的赞美和喜爱，情感倾向明确为正面。
4983548156578669,螺蛳粉第二份半价,羡慕能去线下的小伙伴[泪][泪],Wed Dec 27 16:27:45 +0800 2023,羡慕能去线下的小伙伴,羡慕 线下 小伙伴,1,评论中“羡慕”一词表达了对他人的向往和积极情感，整体语气友善且带有正向的期待，体现了对线下活动的认可和兴趣。
4983548156578669,游到海水变蓝色,苏州博物馆联动阮梅啦，真不错,Wed Dec 27 15:03:25 +0800 2023,苏州博物馆联动阮梅啦 真不错,苏州 博物馆 联动 阮梅 真不错,1,评论中“真不错”是明确的积极评价词汇，表达了对苏州博物馆与阮梅联动的认可和喜爱，整体情感倾向为正面。
4983549768239760,懒懒_130,是不是要提前网上预约呀,Wed Dec 27 13:26:42 +0800 2023,是不是要提前网上预约呀,是不是 提前 网上 预约,0,该评论仅询问是否需要提前网上预约，属于客观信息咨询，未表达明显的积极或消极情绪，因此情感倾向为中性。
4983549768239760,阿海就是厉害,剪纸好漂亮 http://t.cn/A6lY8qSy,Wed Dec 27 21:03:14 +0800 2023,剪纸好漂亮,剪纸 漂亮,1,评论中使用了“好漂亮”这一明确的赞美性词汇，直接表达了对“剪纸”的欣赏和喜爱，情感倾向积极且明确，属于正面评价。
4983549768239760,布加拉提上去,我去！！这周五去,Wed Dec 27 14:07:49 +0800 2023,我去 这周五去,周五,0,该评论仅陈述了“这周五去”的行动计划，没有使用明显的情感词汇或表达主观态度，属于中性的事实陈述，无法判断具体情感倾向。
4983549768239760,狂睡大陆,这把实体的阮真的好漂亮…游戏里的也很漂亮[你好] http://t.cn/A6l84SDY,Fri Dec 29 18:03:22 +0800 2023,这把实体的阮真的好漂亮 游戏里的也很漂亮,实体 漂亮 游戏 很漂亮,1,评论中反复使用“好漂亮”这一积极词汇，表达了对实体和游戏中阮的强烈喜爱与赞赏，情感倾向明确为正面。
4983549768239760,收集阳光和日落,我让亲友帮我带ID打卡了[喵喵],Wed Dec 27 13:26:25 +0800 2023,我让亲友帮我带ID打卡了,亲友 ID 打卡,0,该评论仅陈述了让亲友帮忙代打卡的事实，没有使用明显的情感词汇，也未表达对事件的喜好或厌恶，属于客观陈述性质的中性表达。
4983549768239760,周文文小舟,西馆还能打卡领异形明信片！！[开学季],Wed Dec 27 13:26:26 +0800 2023,西馆还能打卡领异形明信片,西馆 打卡 异形 明信片,1,该评论提到“还能打卡领异形明信片”，使用了“还能”表示惊喜和期待，“打卡领”暗示参与感和收获感，整体表达了对活动的兴趣和积极态度，情感倾向为正面。
4983549768239760,苏苏苏san1,好好看[求关注][求关注][求关注]好适合cos打卡[允悲],Wed Dec 27 13:26:53 +0800 2023,好好看好适合cos打卡,好好 看好 适合 cos 打卡,1,评论中使用了“好好看”、“好适合”等积极词汇，表达了对cos打卡场景的喜爱和认可，整体情感倾向为正面。
4983549768239760,-AstarionMeww-,[允悲][允悲][允悲]好远好想去,Wed Dec 27 18:46:23 +0800 2023,好远好想去,好远,1,评论中“好想去”表达了强烈的向往和期待，虽然“好远”带有距离上的遗憾，但整体情感仍以积极渴望为主，体现了对目标地点或活动的喜爱和憧憬。
4983549768239760,那一年沉迷于花香,苏州评弹，适配度max,Wed Dec 27 13:26:19 +0800 2023,苏州评弹 适配度max,苏州 评弹 适配 max,1,评论中“适配度max”使用了网络流行语表达高度契合，带有明显的赞赏意味，体现了对苏州评弹与相关内容的积极认可，整体情感倾向为正面。
4983549768239760,星绘,[允悲]就在家这边，以前也去过几回了。但是太宅了，又很冷，云看阮梅吧[doge][doge],Wed Dec 27 14:33:38 +0800 2023,就在家这边 以前也去过几回了 但是太宅了 又很冷 云看阮梅吧,在家 以前 去过 几回 太宅 云看 阮梅,0,该评论主要陈述了个人行为（宅、怕冷）和选择（云看阮梅），没有使用明显的情感词汇，既无强烈喜爱也无批评不满，仅表达了一种客观的自我状态和替代性参与方式，整体情感倾向中性。
4983548156578669,零星尾迹云,古典江南风我爱了,Wed Dec 27 14:20:01 +0800 2023,古典江南风我爱了,古典 江南,1,评论中“我爱了”是网络流行语，表达强烈的喜爱之情，“古典江南风”则明确指向具体的美好意象，整体传递出对主题风格的赞赏与热情，情感倾向积极正面。
4983549768239760,冰冻蓝莓酒,🌿多久结束啊，好想去[苦涩],Wed Dec 27 13:26:35 +0800 2023,多久结束啊 好想去,多久 结束,1,评论中“好想去”表达了强烈的期待和向往之情，虽然前半句询问时长略显急切，但整体情感是积极正面的，体现了对活动或体验的渴望。
4983547763097930,菜与烧烤,真不错[笑而不语],Wed Dec 27 16:18:32 +0800 2023,真不错,真不错,1,评论中使用了“真不错”这一明确的积极表达，直接传达出对事物的认可和赞赏态度，整体情感倾向清晰且正面。
4983547763097930,晴琴倾心,真不错[羞嗒嗒],Wed Dec 27 14:38:56 +0800 2023,真不错,真不错,1,评论中使用了“真不错”这一明确的积极表达，直接传达出对内容的认可和满意，整体情感倾向为正面。
5130607290223970,邻家小妹那塔莎,这个非遗狮子好可爱啊[打call],Wed Feb 05 09:11:18 +0800 2025,这个非遗狮子好可爱啊,非遗 狮子 可爱,1,评论中使用了“好可爱”这一积极词汇，表达了对非遗狮子形象的喜爱和赞赏，整体情感倾向明显为正面。
4983547763097930,氺货状元,不错啊,Wed Dec 27 17:48:48 +0800 2023,不错啊,不错,1,评论使用了“不错啊”这一积极表达，语气轻松肯定，传达出对内容的认可和满意，整体情感倾向为正面。
5139809752583470,岑白泽,酱，下一届杨溯可以吗[悲伤],Sun Mar 02 18:01:08 +0800 2025,酱 下一届杨溯可以吗,一届 杨溯,0,该评论仅表达了对下一届杨溯的询问或期待，没有使用明显的情感词汇，也没有表达出强烈的正面或负面情绪，属于中性表达。
4983547763097930,朝如雪ZRX,[锦鲤附体][锦鲤附体][锦鲤附体]好期待啊。,Wed Dec 27 15:46:41 +0800 2023,好期待啊,期待,1,该评论使用了“好期待”这一表达强烈期待和兴奋情绪的词汇，直接传达了对未来事件或内容的积极盼望，整体情感倾向明显为正面。
5130607290223970,大海之颜,蛇年好运，开工大吉。,Wed Feb 05 09:11:58 +0800 2025,蛇年好运 开工大吉,好运 开工 大吉,1,该评论使用了“蛇年好运”、“开工大吉”等传统祝福语，表达了美好的祝愿和积极的期许，整体情感倾向明显为正面。
4983547763097930,借花月道平生,哇 好想去现场,Wed Dec 27 13:24:18 +0800 2023,哇 好想去现场,现场,1,评论中使用了“哇”这一感叹词表达惊喜，以及“好想去现场”直接表达了强烈的参与愿望和积极期待，整体情感倾向明显为正面。
5130607290223970,心随我愿望CO,塔斯汀logo一起开工大吉 http://t.cn/A631veJb,Wed Feb 05 09:10:42 +0800 2025,塔斯汀logo一起开工大吉,斯汀 logo 一起 开工 大吉,1,评论中“开工大吉”是传统祝福语，寓意事业顺利、吉祥如意，表达了积极祝愿和喜庆的情感倾向，整体情感为正面。
4983549768239760,派大唾沫星籽,好美(〃ﾉωﾉ),Wed Dec 27 13:26:32 +0800 2023,好美 ﾉωﾉ,好美,1,评论中使用了“好美”这一积极词汇，并搭配颜文字“ﾉωﾉ”表达喜悦和赞赏的情绪，整体传达出对内容的喜爱和正面评价。
4983549768239760,天天喝粥wy,好美啊我的天,Wed Dec 27 13:26:21 +0800 2023,好美啊我的天,好美,1,该评论使用了“好美啊”和“我的天”等感叹词和积极词汇，表达了对所描述对象强烈的赞美和惊叹之情，整体情感倾向明显为正面。
4983549768239760,哒米啊,想去,Wed Dec 27 13:26:23 +0800 2023,想去,,1,该评论表达了“想去”的意愿，虽然没有使用强烈的积极词汇，但“想去”本身传递了期待和兴趣，属于积极的情感表达，整体情感倾向为正面。
4983549768239760,-馨辰之光-,啊啊啊去早了，我上个月刚刚去过[允悲],Wed Dec 27 13:26:29 +0800 2023,啊啊啊去早了 我上个月刚刚去过,上个月 刚刚 去过,-1,评论中“啊啊啊去早了”表达了强烈的遗憾和懊恼情绪，结合“我上个月刚刚去过”的陈述，说明用户因时间安排不当而错过了期待的活动或机会，整体情感倾向为负面。
4983547763097930,柠柠茶哒,好想去啊啊啊啊可恶,Wed Dec 27 15:52:49 +0800 2023,好想去啊啊啊啊可恶,可恶,1,评论中“好想去”表达了强烈的期待和渴望，“啊啊啊啊”的感叹词增强了兴奋情绪，虽然“可恶”带有轻微抱怨，但整体仍传递出对目标事物的喜爱和向往，情感倾向为正面。
5130607290223970,微笑的旺仔牛奶,开工大吉大利,Wed Feb 05 09:17:16 +0800 2025,开工大吉大利,开工 大吉大利,1,该评论使用了“大吉大利”这一传统祝福语，表达了对开工的积极祝愿和美好期待，整体情感倾向为正面。
5130607290223970,静花寒月夜,恭喜发财 http://t.cn/A631PGng,Wed Feb 05 09:15:44 +0800 2025,恭喜发财,恭喜发财,1,该评论使用了传统祝福语“恭喜发财”，表达了对接收方的美好祝愿和积极情感，整体情感倾向为正面。
5130607290223970,钓大鱼行大运,新年快乐，开工大吉。 http://t.cn/A631Pbc6,Wed Feb 05 09:15:21 +0800 2025,新年快乐 开工大吉,新年快乐 开工 大吉,1,该评论使用了“新年快乐”和“开工大吉”等传统祝福语，表达了对新年的美好祝愿和对工作顺利开始的积极期待，整体情感倾向为正面。
5130607290223970,落樱听雨声,恭喜发财。 http://t.cn/A631PzeC,Wed Feb 05 09:13:10 +0800 2025,恭喜发财,恭喜发财,1,该评论使用了传统祝福语“恭喜发财”，表达了对他人或事物的美好祝愿和积极期待，带有明显的喜庆和正面情感倾向。
5130607290223970,巧手锦鲤,开工大吉大利[心][心],Wed Feb 05 09:13:34 +0800 2025,开工大吉大利,开工 大吉大利,1,该评论使用了“大吉大利”这一传统祝福语，表达了对开工的积极祝愿和美好期待，整体情感倾向为正面。
5130607290223970,墨非梧桐,开工大吉祝大家好运连连 http://t.cn/A631PcPA,Wed Feb 05 09:16:34 +0800 2025,开工大吉祝大家好运连连,开工 大吉 大家 好运 连连,1,该评论使用了“开工大吉”、“好运连连”等祝福性词汇，表达了对工作和未来的美好祝愿，整体情感积极向上，属于正面情感。
5130607290223970,肥皂七彩泡,恭喜发财。[送花花] http://t.cn/A631PAh5,Wed Feb 05 09:13:45 +0800 2025,恭喜发财,恭喜发财,1,该评论使用了传统祝福语“恭喜发财”，表达了对接收者的美好祝愿和积极情感，属于典型的正面情感表达。
5130607290223970,清风ZJH,祝大家都能财运满满迎新年！,Wed Feb 05 09:09:46 +0800 2025,祝大家都能财运满满迎新年,大家 财运 满满 迎新年,1,该评论使用了“财运满满”这一积极祝福词汇，表达了对他人新年的美好祝愿和期待，整体情感倾向明显为正面。
5130607290223970,用户3297603562,太可爱了恭喜发财 http://t.cn/A631PUfx,Wed Feb 05 09:14:54 +0800 2025,太可爱了恭喜发财,可爱 恭喜发财,1,评论中使用了“太可爱了”这一明确的积极情感词汇，表达出强烈的喜爱和赞赏之情；“恭喜发财”是传统祝福语，带有吉祥和喜悦的色彩，整体情感倾向积极正面。
5130607290223970,锦鲤附体好运降临吧,开工大吉[送花花],Wed Feb 05 09:09:24 +0800 2025,开工大吉,开工 大吉,1,该评论使用了“开工大吉”这一传统祝福语，表达了对工作或事业顺利开始的良好祝愿，带有积极、喜庆的色彩，整体情感倾向为正面。
5130607290223970,清晨阳光111111,开工大吉好运连连 http://t.cn/A631vBQV,Wed Feb 05 09:09:45 +0800 2025,开工大吉好运连连,开工 大吉 好运 连连,1,该评论使用了“开工大吉”、“好运连连”等传统祝福语，表达了对工作顺利、运势亨通的美好祝愿，整体情感积极向上，充满喜庆和鼓励的意味。
5130607290223970,背包客子修,大年初八 发发发[打call],Wed Feb 05 22:32:03 +0800 2025,大年初八 发发发,初八 发发发,1,该评论使用了“发发发”这一具有吉祥寓意的表达，符合春节期间的祝福语境，传递了积极向上的情感和美好祝愿，整体情感倾向为正面。
5130607290223970,向阳而升fighting,开工利狮 一切顺利 http://t.cn/A631vFKz,Wed Feb 05 09:11:36 +0800 2025,开工利狮 一切顺利,开工 利狮 一切顺利,1,该评论使用了“开工利狮”这一谐音祝福语（寓意“开工利是”）和“一切顺利”的积极祝愿，表达了对工作或事业开局的良好期许与支持，整体情感倾向为正面。
5130607290223970,在水族馆学化妆的咖啡,面人郎巧夺天工，发财狮精神抖擞迎新春，祝财神爷到家中，财源滚滚来！,Wed Feb 05 09:10:00 +0800 2025,面人郎巧夺天工 发财狮精神抖擞迎新春 祝财神爷到家中 财源滚滚来,面人郎 巧夺天工 发财 精神抖擞 迎新春 财神爷 家中 财源滚滚,1,该评论使用了“巧夺天工”、“精神抖擞”、“财源滚滚”等积极词汇，赞美了面人郎的精湛技艺和发财狮的生动形象，并表达了对新春财运的美好祝愿，整体情感倾向为正面。
5130607290223970,幸运福锦鲤,开工醒狮财源广进 http://t.cn/A631PLCn,Wed Feb 05 09:14:24 +0800 2025,开工醒狮财源广进,开工 醒狮 财源 广进,1,评论中使用了“开工醒狮财源广进”这一传统吉祥用语，其中“醒狮”象征活力与好运，“财源广进”直接表达对财富增长的祝福，整体充满积极、喜庆的情感倾向，属于正面评价。
5130607290223970,花语有泪的婷婷,开工大吉,Wed Feb 05 10:20:38 +0800 2025,开工大吉,开工 大吉,1,该评论使用了“开工大吉”这一传统祝福语，表达了对新开始或工作顺利的美好祝愿，带有积极的鼓励和喜庆色彩，整体情感倾向为正面。
5110021756554022,小呲呲不想说话,好可爱好可爱好可爱好可爱,Wed Dec 11 09:44:19 +0800 2024,好可爱好可爱好可爱好可爱,可爱 可爱 可爱 可爱,1,该评论连续使用多个“好可爱”表达强烈的喜爱和赞赏，重复的积极词汇强化了正面情感，整体情感倾向明确为正面。
5110021756554022,陆斯切洛夫斯基,好可爱！！,Tue Dec 10 13:49:44 +0800 2024,好可爱,可爱,1,该评论使用了“好可爱”这一积极词汇，直接表达了对内容的喜爱和赞赏，情感倾向明确为正面。
5110021756554022,波菊尼,问问头发，好可爱[哇],Tue Dec 10 13:14:35 +0800 2024,问问头发 好可爱,问问 头发 可爱,1,评论中使用了“好可爱”这一明确的积极词汇，直接表达了对头发造型的喜爱和赞赏，整体情感倾向清晰为正面。
5110021756554022,蛋蛋蛋蛋蛋黄yun,宝宝！ee亲亲[亲亲][亲亲],Tue Dec 10 13:34:06 +0800 2024,宝宝 ee亲亲,宝宝 ee 亲亲,1,"评论中使用了""宝宝""、""亲亲""等亲昵词汇，表达了对对象的喜爱和亲近之情，整体情感倾向明显为正面。"
5110021756554022,雪貂婋婋,宝宝好萌好萌[爱慕][爱慕][爱慕],Tue Dec 10 13:31:56 +0800 2024,宝宝好萌好萌,宝宝 好萌 好萌,1,评论中重复使用“好萌好萌”这一充满喜爱和赞赏的积极词汇，直接表达了对对象的强烈喜爱和正面情感，整体情感倾向明显为正面。
5058337895616663,悬顶之心,官方门面 特别伟大的脸,Sat Jul 20 22:28:22 +0800 2024,官方门面 特别伟大的脸,官方 门面 特别 伟大,1,该评论使用了“官方门面”、“特别伟大”等高度赞扬的词汇，直接表达了对评论对象外貌或形象的强烈肯定和欣赏，整体情感倾向非常积极和正面。
5137694886200620,橙子汁86767,出息了,Wed Feb 26 13:18:18 +0800 2025,出息了,出息,1,评论“出息了”是中文网络用语，通常用于表达对某人或某事取得进步、成就的赞赏和鼓励，带有欣慰和自豪的情感色彩，整体情感倾向为正面。
5058337895616663,肉包子不理小狗,我天 不认识 但是吧唧好美啊[哆啦A梦害怕],Sun Jul 21 18:36:01 +0800 2024,我天 不认识 但是吧唧好美啊,我天 认识 吧唧 好美,1,评论中使用了“我天”表达惊喜，“好美啊”直接表达对物品外观的赞赏，整体语气积极，体现了对“吧唧”的喜爱和正面评价。
5110021756554022,杜斯特-质朴地只想玩,老师 里面内搭是什么呀？想复刻一个 或者…有无穿戴码呀？,Tue Dec 10 14:31:56 +0800 2024,老师 里面内搭是什么呀 想复刻一个 或者 有无穿戴码呀,老师 里面 复刻 有无 穿戴,0,该评论以询问为主，表达了用户对服装内搭和穿戴码的好奇与兴趣，但并未使用明显的情感词汇，整体语气平和，属于中性询问。
5110021756554022,杜斯特-质朴地只想玩,萌宝萌萌哒,Tue Dec 10 14:30:24 +0800 2024,萌宝萌萌哒,萌宝 萌萌,1,评论中“萌萌哒”是网络流行语，表达可爱、讨人喜欢的积极情感，常用于形容人或事物令人感到愉悦和喜爱，整体传递出明显的正面情绪。
5058337895616663,一罐木头星絮,门面秒了,Sat Jul 20 23:36:15 +0800 2024,门面秒了,门面,1,评论中“秒了”是网络用语，表示“完全胜过”或“碾压”，带有强烈的赞赏和肯定意味，通常用于表达对某人或事物出众表现的积极评价，整体情感倾向为正面。
5058337895616663,夜游_Ustinian,伟大的脸[爱你],Sun Jul 21 01:41:04 +0800 2024,伟大的脸,伟大,1,该评论使用了“伟大的”这一高度赞扬的词汇来形容“脸”，表达了对人物外貌或形象的强烈欣赏和赞美，情感倾向明显为正面。
5058337895616663,聆俞知湫,门面伟大的脸,Tue Jul 30 18:13:51 +0800 2024,门面伟大的脸,门面 伟大,1,评论中“伟大的脸”使用了夸张的赞美性词汇，表达了对“门面”外貌的高度认可和欣赏，带有明显的积极情感倾向。
5058337895616663,道四即可_,伟大,Fri Jul 26 07:07:56 +0800 2024,伟大,伟大,1,该评论仅使用“伟大”一词，这是一个高度积极的评价词汇，通常用于表达对事物或人物的崇高敬意和强烈赞赏，因此整体情感倾向明确为正面。
5058337895616663,慕时歌,乔殊特别伟大的脸，被迷的死死的,Mon Jul 22 21:27:03 +0800 2024,乔殊特别伟大的脸 被迷的死死的,乔殊 特别 伟大 死死的,1,评论中使用了“特别伟大”、“被迷的死死的”等强烈赞美词汇，表达了对角色外貌的高度欣赏和喜爱，整体情感倾向明显为正面。
5058337895616663,Hoshi_殊涵,好米[干饭人][干饭人],Mon Jul 22 10:00:24 +0800 2024,好米,好米,1,评论中“好米”是网络用语，意为“好美”或“很好看”，表达了积极的赞美和喜爱之情，整体情感倾向明显为正面。
5006059852793948,阴阳师万事屋,创作者主页 http://t.cn/A6YjcDNA,Tue Feb 27 16:06:05 +0800 2024,创作者主页,创作者 主页,0,该评论仅提及“创作者主页”，属于客观陈述，没有表达任何情感色彩或主观评价，因此情感倾向为中性。
5058337895616663,留下一颗星星糖,宝宝呀[酷][酷][酷]门面秒了[ok],Mon Jul 22 12:04:10 +0800 2024,宝宝呀门面秒了,宝宝 门面,1,评论中“宝宝呀”和“秒了”是网络流行语，带有喜爱和赞赏的意味，表达了对对象（如偶像或作品）的强烈认可和赞美，整体情感积极正面。
5058337895616663,娃娃脸躺着睡觉,这个立牌是真的很[爱慕],Sun Jul 21 09:24:20 +0800 2024,这个立牌是真的很,立牌,0,该评论仅描述了立牌的真实性，未使用明显的情感词汇，缺乏明确的积极或消极表达，因此情感倾向为中性。
5058337895616663,初冬冰淇淋,不认识但是好美啊我靠,Thu Jul 25 19:59:57 +0800 2024,不认识但是好美啊我靠,认识 好美,1,评论中使用了“好美啊”等积极词汇表达对内容的赞赏，感叹词“我靠”在此语境中增强了赞叹语气，整体表达了对不认识事物的惊艳与喜爱，情感倾向明显为正面。
