评论者昵称,评论内容,cleaned_content,segmented_content,情感分析结果,解析
苹果樹理学,不要忘最开始做游戏的初忠！,不要忘最开始做游戏的初忠,游戏 初忠,-1,评论中“不要忘最开始做游戏的初忠”隐含了对当前游戏开发方向或行为的批评，暗示可能偏离了初心，带有失望或提醒的负面情绪，整体倾向为负面。
Yoloooooooo,谁懂啊我真洛阳人,谁懂啊我真洛阳人,洛阳人,1,评论中“谁懂啊我真洛阳人”表达了用户作为洛阳人的自豪感和兴奋情绪，通过感叹句式强化了积极情感，整体传递出对自身身份的认同和喜悦。
明天见.,当了医学生之后看黎深帮主控时我真的有点怜爱黎了，本来帮一个八竿子打不着的人去看病人我觉得已经很好了，更别说主控还要转移病人，黎深还动用这么多人情，结果这特么睡了一晚上就算了？至少得抗争一下直到真的没办法了才行吧，人家黎深犯了什么错得陪着主控跟过家家一样，看了这段剧情后我将否认我是主控，我也将否认我过了这段剧情做了这些事。这烂剧情搞得我对哥现在都没啥好感，反而更心疼黎深和你们黎推了,当了医学生之后看黎深帮主控时我真的有点怜爱黎了 本来帮一个八竿子打不着的人去看病人我觉得已经很好了 更别说主控还要转移病人 黎深还动用这么多人情 结果这特么睡了一晚上就算了 至少得抗争一下直到真的没办法了才行吧 人家黎深犯了什么错得陪着主控跟过家家一样 看了这段剧情后我将否认我是主控 我也将否认我过了这段剧情做了这些事 这烂剧情搞得我对哥现在都没啥好感 反而更心疼黎深和你们黎推了,医学生 之后 黎深 帮主 控时 怜爱 本来 八竿子打不着 病人 主控 还要 转移 病人 黎深 动用 人情 这特 就算 至少 抗争 直到 办法 黎深 错得 主控 过家家 这段 剧情 否认 主控 否认 我过 这段 剧情 这烂 剧情 对哥 现在 好感 反而 心疼 黎深 黎推,-1,评论中使用了“怜爱”、“心疼”等词表达对黎深的同情，但整体情绪强烈负面，通过“这特么睡了一晚上就算了”、“烂剧情”、“没啥好感”等措辞直接批评剧情设计不合理，表达了对主控行为的不满和对剧情安排的失望。
摸🐟爽,可爱小鱼,可爱小鱼,可爱 小鱼,1,该评论使用了“可爱”这一积极词汇，直接表达了对小鱼形象的喜爱和赞赏，整体情感倾向明显为正面。
红细胞,好想去一次洛阳呀,好想去一次洛阳呀,一次 洛阳,1,评论中“好想去”表达了强烈的向往和期待，带有积极的情感色彩，整体倾向为正面。
哈哈哈嗝儿,洛阳！欢迎大家来洛阳玩,洛阳 欢迎大家来洛阳玩,洛阳 欢迎 大家 洛阳,1,该评论以热情友好的口吻邀请大家来洛阳游玩，使用了“欢迎”等积极词汇，表达了对洛阳的喜爱和推广意愿，整体情感倾向为正面。
簌簌南木,我是洛阳人，送我宫灯,我是洛阳人 送我宫灯,洛阳人 宫灯,1,该评论表达了作为洛阳人对宫灯的喜爱和渴望，使用“送我宫灯”的请求语气带有期待和亲切感，整体情感倾向积极正面。
momo,好好好，但好好打磨一下主线剧情版啊，勤更主线,好 但好好打磨一下主线剧情版啊 勤更主线,好好 打磨 主线 剧情 主线,1,评论以“好”开头表达肯定态度，同时提出“好好打磨主线剧情”和“勤更主线”的建设性建议，体现了对作品的关心和期待，整体情感倾向积极。
东海与凌（⚡🐟版）,woc 洛阳，IP正确,woc 洛阳 ip正确,woc 洛阳 ip 正确,1,评论中“woc”作为感叹词表达惊喜，“ip正确”则是对洛阳元素的认可和赞许，整体语气兴奋且带有积极肯定，情感倾向为正面。
黎辰,河南，，,河南,河南,0,该评论仅提及地名“河南”，未包含任何情感色彩或评价性词汇，无法判断其情感倾向，因此属于中性陈述。
youz,空子好棒,空子好棒,空子 好棒,1,评论中使用了“好棒”这一积极词汇，表达了对“空子”的赞赏和喜爱，整体情感倾向明显为正面。
用户已注销,黎深哥哥！,黎深哥哥,黎深 哥哥,1,评论中使用了“哥哥”这一亲昵称呼，表达了对角色黎深的喜爱和亲近感，带有明显的积极情感倾向。
一块猫饼,你又去不了，哈哈,你又去不了 哈哈,不了,-1,评论中“你又去不了”带有否定和嘲讽意味，结合“哈哈”的嘲笑语气，整体表达了对对方无法参与的幸灾乐祸或轻视，情感倾向为负面。
Nora不吃辣,又又幸福了！暑假绣球 寒假宫灯 好有缘,又又幸福了 暑假绣球 寒假宫灯 好有缘,幸福 暑假 绣球 寒假 宫灯 有缘,1,评论中使用了“幸福”、“好有缘”等积极词汇，表达了对暑假绣球和寒假宫灯两次联动的喜悦与满足感，整体情感倾向为正面。
丝锥尅子回归了🏅,和黎深一起学习非遗洛阳宫灯！,和黎深一起学习非遗洛阳宫灯,黎深 一起 学习 非遗 洛阳 宫灯,1,评论中提及与角色“黎深”一起学习非遗文化“洛阳宫灯”，表达了对文化传承的积极态度和对角色的喜爱，整体情感倾向为正面。
蔗里糖七颗,到我家门口了啊啊啊啊啊啊啊啊啊,到我家门口了啊,家门口,0,该评论仅陈述了“到我家门口”这一事实，没有使用明显的积极或消极词汇，也未表达出强烈的情感倾向，属于客观描述，因此判断为中性。
官娃allin但超绝预售期发疯中,如果这个能把每一面图案都做成彩窗透光挂件，不敢想象卖得有多好,如果这个能把每一面图案都做成彩窗透光挂件 不敢想象卖得有多好,一面 图案 做成 彩窗 透光 挂件 不敢 想象 卖得,1,评论中使用了“不敢想象卖得有多好”这一表达，隐含了对产品创意的强烈认可和期待，整体语气积极，体现了对潜在市场表现的乐观预测。
刺挠行为启示录,好好好，以后多出非遗联动，别联动像什么名创优品这种破烂品牌，这种有文化内涵的才有意义,好 以后多出非遗联动 别联动像什么名创优品这种破烂品牌 这种有文化内涵的才有意义,以后 多出 非遗 联动 联动 创优 破烂 品牌 文化 内涵 意义,1,该评论通过“好”直接表达肯定态度，并积极建议“多出非遗联动”，同时批评“破烂品牌”来对比突出对文化内涵联动的高度认可，整体情感倾向为正面支持。
长煜日俱中-（叠满人鱼版🔥🔥🍀）,欢迎来洛阳,欢迎来洛阳,欢迎 洛阳,1,该评论使用了“欢迎”这一友好邀请词汇，表达了对他人到来的热情与善意，整体情感倾向积极正面，体现了开放和友好的态度。
小栗熊.,一周年快乐！新的一年祝大家万事如意！阿空也要越来越好！新年快乐,一周年快乐 新的一年祝大家万事如意 阿空也要越来越好 新年快乐,一周年 快乐 一年 大家 万事如意 阿空 越来越 新年快乐,1,该评论使用了“一周年快乐”、“万事如意”、“越来越好”、“新年快乐”等祝福性词汇，表达了对周年庆的祝贺和对未来的美好祝愿，整体情感积极且充满善意。
Luk77,新年快乐！！猎人小姐们！！！,新年快乐 猎人小姐们,新年快乐 猎人 小姐,1,该评论使用了“新年快乐”这一传统祝福语，表达了对特定群体（猎人小姐们）的节日问候和善意，整体情感倾向积极友好，属于正面情感。
飘啊飘,听说空子复活了,听说空子复活了,听说 空子 复活,0,该评论仅陈述了“听说空子复活了”这一事实性信息，没有使用明显的情感词汇或表达个人态度，属于客观陈述，因此情感倾向为中性。
Roni,好！好好！我本地人，黎医生我带你回家,好 好好 我本地人 黎医生我带你回家,好好 本地人 医生 回家,1,评论中使用了“好”、“好好”等积极词汇，表达了对黎医生的喜爱和归属感，整体情感倾向为正面。
狸花带彻（彻来运转）,给彻宝！补卡！！！！,给彻宝 补卡,彻宝 补卡,1,评论中“彻宝”是亲昵的称呼，“补卡”通常指在游戏或相关活动中为喜欢的角色或内容进行支持、应援，带有明显的喜爱和积极支持的情感色彩。
你卖🍵有一手（坐祁煜副驾驶版）,好好好和小锦鲤一起,好和小锦鲤一起,锦鲤 一起,1,"评论中使用了""好""这一积极词汇，表达了对与小锦鲤一起的喜爱和期待，整体情感倾向为正面。"
醒醒,卧槽 洛阳人狠狠爽了,卧槽 洛阳人狠狠爽了,洛阳人 狠狠,1,评论中“卧槽”作为感叹词表达惊喜，“狠狠爽了”直接表达了强烈的愉悦和满足感，结合“洛阳人”的身份认同，整体传递出因特定内容（如联动、活动）而产生的兴奋和自豪感，情感倾向明显为正面。
小红薯61AF8F7E,洛阳人狂喜,洛阳人狂喜,洛阳人 狂喜,1,评论中“狂喜”一词表达了强烈的喜悦和兴奋情绪，体现了对洛阳相关内容的积极认同和自豪感，整体情感倾向明显为正面。
临空甜甜圈,深空文化输出做的真的很好,深空文化输出做的真的很好,深空 文化 输出,1,评论中使用了“真的很好”这一明确肯定表达，直接赞扬了深空文化输出的成效，体现了对相关工作的认可和积极评价，整体情感倾向为正面。
芯芯,啊！我真不想有第6个男主！！！！！谁懂啊！！！,啊 我真不想有第个男主 谁懂啊,不想 第个 男主,-1,评论中“我真不想有第个男主”直接表达了强烈的抗拒和不满情绪，“谁懂啊”进一步强化了这种无奈和抱怨的语气，整体情感倾向为负面。
琰琰,小鱼,小鱼,小鱼,0,该评论仅包含“小鱼”这一简短词汇，没有明确的积极或消极情感表达，也未提供足够上下文判断情感倾向，因此属于中性评论。
赵声阁差点没挤进去的陈挽的暗恋,有点不忍心破坏收藏的666,有点不忍心破坏收藏的,不忍心 破坏 收藏,0,该评论表达了“不忍心破坏收藏”的想法，体现了对物品的珍惜或犹豫态度，但没有明显的积极或消极情感倾向，属于中性表达。
李鹤一,阿空，我想夸夸你写沈星回两心同同事，看的人心暖暖的，特别棒！,阿空 我想夸夸你写沈星回两心同同事 看的人心暖暖的 特别棒,阿空 夸夸 沈星回 两心同 同事 人心 暖暖的 特别,1,评论中使用了“夸夸你”、“心暖暖的”、“特别棒”等明确表达赞赏和喜爱的积极词汇，整体语气充满支持和鼓励，情感倾向明显为正面。
Crystal,新年快乐！,新年快乐,新年快乐,1,该评论使用了“新年快乐”这一传统祝福语，表达了对节日的庆祝和对接收者的美好祝愿，整体情感倾向为正面。
浅海,和小鱼一起跨新年,和小鱼一起跨新年,小鱼 一起 新年,1,评论中“和小鱼一起跨新年”表达了陪伴和庆祝的积极意愿，使用“一起”体现了亲密感和期待感，整体传递出温暖、喜悦的情感倾向，属于正面评价。
该用户已摆烂,小回,小回,小回,0,该评论仅包含一个简短称呼或昵称“小回”，没有表达明确的情感态度或评价内容，无法判断其情感倾向，因此属于中性评论。
临空市的新鲜空气,求求你卖我点非遗联动产品……每次看到都特别馋,求求你卖我点非遗联动产品 每次看到都特别馋,求求 我点 联动 产品 每次 看到 特别,1,评论中“求求你”表达强烈渴望，“特别馋”用比喻手法体现对产品的喜爱和向往，整体语气充满期待和热情，属于积极正面的情感表达。
loq.x,这好久以前的了,这好久以前的了,好久 以前,0,该评论仅陈述了时间上的久远性，没有表达出明显的积极或消极情绪，也没有涉及对内容本身的评价，属于客观描述，因此情感倾向为中性。
脸1点也不圆,天哪啊啊啊不得不和秦彻一起去洛阳了,天哪啊不得不和秦彻一起去洛阳了,不得不 秦彻 一起 洛阳,1,评论中“天哪啊”表达惊喜，“不得不”在此语境中带有期待和兴奋的意味，整体传达出对与秦彻同行的积极期待和愉悦情感。
椰子Cyu,哈哈哈哈看我IP啊啊啊啊啊啊哈哈哈哈哈哈哈哈哈,哈看我ip啊哈,哈看 ip 啊哈,0,该评论仅通过提及IP地址表达地理位置信息，没有使用明显的情感词汇或表达态度，属于陈述性内容，整体情感倾向为中性。
草莓牛奶巧克力,和沈星回共赴下一个春天,和沈星回共赴下一个春天,沈星回 共赴 春天,1,评论中“共赴下一个春天”表达了对与角色沈星回未来互动的美好期待和浪漫想象，带有积极的情感色彩，整体情感倾向为正面。
ff,竟然是洛阳，我都没仔细看,竟然是洛阳 我都没仔细看,洛阳 仔细,0,该评论仅表达了用户对内容地点（洛阳）的意外发现，并提到自己之前未仔细关注，语气较为平淡，没有明显的积极或消极情绪表达，属于中性陈述。
唯独有个村,我每次看人家老师专家一本正经地说 “各位猎人大家好” 我就有点蚌埠住,我每次看人家老师专家一本正经地说 各位猎人大家好 我就有点蚌埠住,每次 老师 专家 一本正经 地说 猎人 大家 蚌埠,0,该评论描述了观看专业人士使用特定称呼时的个人感受，使用了网络流行语“蚌埠住”表达忍俊不禁的情绪，但并未明确表达对内容或人物的正面或负面评价，更多是陈述一种观察反应，整体情感倾向中性。
苹果一位,喜欢和传统文化联动——！新年和祁煜一起！阿空继续保持呀！上次的绣球非遗也特别喜欢！就要这样！,喜欢和传统文化联动 新年和祁煜一起 阿空继续保持呀 上次的绣球非遗也特别喜欢 就要这样,喜欢 传统 文化 联动 新年 祁煜 一起 阿空 继续 保持 上次 绣球 非遗 特别 喜欢 就要,1,评论中使用了“喜欢”、“特别喜欢”、“就要这样”等积极词汇，表达了对传统文化联动内容的明确喜爱和支持，整体情感倾向为正面。
就叫672AB8C4了,每次看见推上有外国人意识到是中国元素的时候都好激动。这点要夸一下,每次看见推上有外国人意识到是中国元素的时候都好激动 这点要夸一下,每次 看见 推上 外国人 意识 中国 元素 激动 这点,1,评论中使用了“好激动”、“要夸一下”等积极表达，体现了对国际认可中国元素的欣喜与自豪感，整体情感倾向为正面。
弦银,世界浩大，天地辽阔，风尘满身，灯火可亲    这句话写的真是太好，这次联动也依然特别有心,世界浩大 天地辽阔 风尘满身 灯火可亲 这句话写的真是太好 这次联动也依然特别有心,世界 浩大 天地 辽阔 风尘 满身 灯火 可亲 这句 真是太 这次 联动 依然 特别 有心,1,评论中使用了“真是太好”、“特别有心”等积极词汇，表达了对联动文案和策划的高度赞赏，整体情感倾向为正面。
小熊超人,传承与弘扬传统文化，支持深空！,传承与弘扬传统文化 支持深空,传承 弘扬 传统 文化 支持 深空,1,该评论明确表达了“支持深空”的立场，并使用“传承与弘扬传统文化”这一具有高度积极意义的表述，体现了对相关文化价值的肯定和拥护，整体情感倾向积极正面。
Cindy,洛阳人很爱,洛阳人很爱,洛阳人,1,该评论表达了“洛阳人很爱”的情感，虽然没有具体说明爱的对象，但“很爱”这一表述直接传达了积极的情感倾向，体现了对洛阳人或相关事物的喜爱与认同。
黄油曲奇饼,这不得在线下搞点活动啊 夺近呐 也就150公里的事 搞了我马上去,这不得在线下搞点活动啊 夺近呐 也就公里的事 搞了我马上去,不得 在线 活动 夺近 公里 马上,1,评论中“这不得在线下搞点活动啊”表达了期待，“搞了我马上去”展现了积极参与的意愿，整体语气热情且充满期待，情感倾向为正面。
Forgotten,蓦然回首 那人却在，灯火阑珊处！！！！！,蓦然回首 那人却在 灯火阑珊处,蓦然回首 那人 灯火阑珊,0,该评论引用了古诗词“蓦然回首，那人却在，灯火阑珊处”，本身是客观描述一种意境或场景，没有明显的情感倾向，属于中性表达。
狐狸狸狸狸猫,好看的灯笼 我赶紧上线继续做材料嘿嘿,好看的灯笼 我赶紧上线继续做材料嘿嘿,好看 灯笼 赶紧 上线 继续 材料 嘿嘿,1,评论中“好看的灯笼”表达了对游戏内容的欣赏，“赶紧上线”体现了积极行动的热情，“嘿嘿”带有愉悦的语气词，整体传递出玩家对游戏内容的喜爱和期待，情感倾向明显为正面。
用户已注销,讲道理空子，能不能把主控写的聪明一点？,讲道理空子 能不能把主控写的聪明一点,讲道理 空子 主控 聪明,-1,该评论通过“讲道理”引出对游戏角色设定的不满，使用“能不能”表达诉求，核心批评主控角色“不够聪明”，带有明显的失望和批评情绪，整体情感倾向为负面。
海参熊,叠，我原谅你了，做得好！朕与阿空何曾有过嫌隙~,叠 我原谅你了 做得好 朕与阿空何曾有过嫌隙,原谅 做得好 阿空 何曾 有过 嫌隙,1,评论中使用了“原谅你了”、“做得好”等积极表达，并以“朕与阿空何曾有过嫌隙”的玩笑口吻表示亲密无间，整体语气幽默且充满赞赏，情感倾向明显为正面。
今天也是超级幸运的夏冰,干得好空子，看了真的想去洛阳啊，向往好久了,干得好空子 看了真的想去洛阳啊 向往好久了,干得 空子 洛阳 向往 好久,1,评论中“干得好”表达了对内容或行为的肯定与赞扬，“想去洛阳”、“向往好久了”则体现了强烈的期待和喜爱之情，整体情感积极正面。
云云云云,很用心的联动，想到了之前绣球的联动，文化的瑰宝很丰富，用游戏的方式传播传统文化，很棒 ，很有意义👍🏻希望这样的联动能够保持下去。,很用心的联动 想到了之前绣球的联动 文化的瑰宝很丰富 用游戏的方式传播传统文化 很棒 很有意义 希望这样的联动能够保持下去,用心 联动 想到 之前 绣球 联动 文化 瑰宝 丰富 游戏 方式 传播 传统 文化 很棒 意义 希望 联动 能够 保持 下去,1,评论中使用了“很用心”“很棒”“很有意义”等积极词汇，表达了对联动内容的高度赞赏，认为其是传播传统文化的有效方式，并表达了持续下去的期待，整体情感倾向为正面。
小红薯662D7204,还有这个活动吗,还有这个活动吗,活动,0,该评论仅询问活动是否存在，没有表达任何情感色彩或主观评价，属于纯粹的信息查询，因此情感倾向为中性。
米球兔,棒棒哒，这几天新功能不错，我不准任何人忤逆你,棒棒哒 这几天新功能不错 我不准任何人忤逆你,棒棒 几天 功能 不错 不准 任何人 忤逆,1,评论中“棒棒哒”和“不错”等词汇表达了积极的肯定态度，后半句“我不准任何人忤逆你”以夸张的玩笑口吻表示支持，整体情感倾向为正面。
踏雪巡妹,沈星回好适合这种古韵感,沈星回好适合这种古韵感,沈星回 适合 古韵感,1,评论中“好适合”表达了对角色造型的肯定和赞赏，“古韵感”则带有审美上的积极评价，整体传递出对角色形象的喜爱与认可，情感倾向明确为正面。
🤣👆,多搞点有意义的好吗，别搞问卷里的那些乱七八糟的，咱们听话哈,多搞点有意义的好吗 别搞问卷里的那些乱七八糟的 咱们听话哈,意义 别搞 问卷 乱七八糟 听话,-1,评论中“多搞点有意义的好吗”和“别搞问卷里的那些乱七八糟的”表达了批评和不满，认为当前内容无意义且混乱。“咱们听话哈”带有讽刺或无奈的语气，整体情感倾向为负面。
uuu,只联动大的,只联动大的,联动,1,评论中“只联动大的”表达了用户对联动对象的高期待和认可，暗示对品牌或IP的信任与支持，整体情感倾向积极正面。
。,不要再更新男主了，要做就做好来，不忘初心，把现在的五个男主保护好，对他们好一些，不要老是站桩了。,不要再更新男主了 要做就做好来 不忘初心 把现在的五个男主保护好 对他们好一些 不要老是站桩了,更新 男主 做好 不忘 初心 现在 五个 男主 保护 老是,-1,评论中“不要再更新男主了”、“把现在的五个男主保护好”、“不要老是站桩了”等表述，透露出对当前游戏内容的不满和担忧，批评开发方未能“做好来”且可能偏离“初心”，整体带有明显的负面情绪和指责意味。
什么时候才能退休在家打游戏,和黎深哥哥一起～,和黎深哥哥一起,黎深 哥哥 一起,1,该评论表达了对角色“黎深哥哥”的喜爱和亲近感，使用“一起”暗示期待或满足的互动体验，整体语气亲切积极，属于正面情感倾向。
蛙蛙,刚从那回来,刚从那回来,回来,0,该评论仅陈述了“刚从那回来”这一事实性信息，没有表达任何积极或消极的情绪词汇，也没有明显的褒贬倾向，属于客观陈述的中性表达。
喜树,今夕是何年,今夕是何年,今夕 何年,0,该评论仅引用古诗词“今夕是何年”表达对时间流逝的感叹或对当前情境的疑问，未包含明显的积极或消极情感词汇，整体表达较为客观，属于中性评论。
닝이팅🐱,做为一个洛阳人和玩恋与深空的人为什么我都不知道呀,做为一个洛阳人和玩恋与深空的人为什么我都不知道呀,洛阳人 玩恋 深空 知道,0,该评论表达了用户对信息未知的困惑，使用了“为什么我都不知道呀”的疑问句式，但未包含明显的积极或消极情绪词汇，更多是陈述个人感受而非评价，因此情感倾向为中性。
幸会ovo,怎么才看到,怎么才看到,看到,0,该评论仅表达了“怎么才看到”的疑问，没有明显的积极或消极情绪表达，属于对信息接收时间的客观陈述，情感倾向为中性。
华生不吃花生吃无花果干,真的出非遗了！！！,真的出非遗了,出非,1,该评论使用了“真的出”这一表达，传递出对非遗内容推出的期待与惊喜感，整体语气积极，体现了对相关内容的认可与支持。
白日梦想,给我干什么时候来了,给我干什么时候来了,干什么,0,该评论表达了对某个事件或内容出现时间的疑问，使用了口语化表达“给我干什么时候来了”，但并未包含明显的积极或消极情感词汇，仅体现对时间点的关注，整体情感倾向为中性。
hubby,给我干哪来了,给我干哪来了,哪来,0,该评论“给我干哪来了”是一种口语化表达，通常用于表达困惑或对当前情境的不解，但并未直接体现明显的积极或消极情绪，更多是中性陈述。
Wen,啊啊啊是我的家乡,啊是我的家乡,家乡,1,评论中“啊是我的家乡”表达了亲切感和归属感，带有自豪和喜悦的情绪，整体情感倾向为正面。
inspiration,我竟然过完了才发现,我竟然过完了才发现,发现,0,该评论仅陈述了“过完了才发现”这一事实，没有使用明显的情感词汇，也没有表达出积极或消极的情绪，属于中性陈述。
一枝白茶,河南人很骄傲,河南人很骄傲,河南人 骄傲,1,该评论使用了“骄傲”这一积极词汇，表达了对河南人或河南地区的自豪与肯定，整体情感倾向为正面。
诉茉molly,我家乡呜呜呜呜感动,我家乡呜感动,家乡 感动,1,评论中“呜感动”是网络用语，表达强烈的感动情绪，结合“我家乡”这一归属感词汇，整体传递出对家乡相关内容的深切情感共鸣和积极肯定。
安心睡吧，我的大雪人,我说这个科普的背景怎么那么熟悉,我说这个科普的背景怎么那么熟悉,科普 背景 熟悉,0,该评论仅表达了对科普背景的熟悉感，没有使用明显的情感词汇，也没有表达出喜爱、厌恶或批评等具体态度，属于中性观察性陈述。
Wen,欢迎猎人小姐们来洛阳玩,欢迎猎人小姐们来洛阳玩,欢迎 猎人 小姐 洛阳,1,该评论使用了“欢迎”这一友好邀请词汇，表达了对“猎人小姐们”的亲切和热情，整体语气积极友善，旨在营造一种欢迎和期待的正面氛围。
midnights,啊啊啊我才发现当时活动发视频的时候正好在洛阳旅游，这就是宿命吗,啊我才发现当时活动发视频的时候正好在洛阳旅游 这就是宿命吗,发现 当时 活动 视频 正好 洛阳 旅游 宿命,1,评论中“宿命”一词带有浪漫和巧合的意味，结合“在洛阳旅游”的愉快经历，整体表达了惊喜和积极的情绪，没有负面或批评的表述，因此情感倾向为正面。
林青杭,开头这个我去年去过,开头这个我去年去过,开头 去年 去过,0,该评论仅陈述了“去年去过”的事实，没有表达任何积极或消极的情感色彩，属于中性陈述。
行玦,应天门开头是，也是联动上了,应天门开头是 也是联动上了,天门 开头 联动,0,该评论仅陈述了“应天门开头是”和“联动上了”这一事实，没有使用明显的褒贬词汇，也没有表达个人喜好或评价，属于客观描述，因此情感倾向为中性。
一只虎喵,你今天的pv对得起这宫灯么你,你今天的pv对得起这宫灯么你,今天 pv 对得起 宫灯,-1,评论中使用了反问句式“对得起这宫灯么你”，带有明显的指责和不满情绪，暗示PV（宣传视频）的质量或内容配不上精美的宫灯元素，表达了失望和批评的态度。
今晚几点睡,活动都结束了我才知道还有咱河南的事儿,活动都结束了我才知道还有咱河南的事儿,活动 结束 知道 河南 事儿,-1,评论中“活动都结束了才知道”表达了错过信息的遗憾和不满，隐含对信息传达不及时的批评，整体带有负面情绪。
Rudius,看洛阳,看洛阳,洛阳,0,该评论仅提及地点“洛阳”，未包含任何情感色彩词汇或明确态度表达，属于客观陈述，没有表现出正面或负面的情感倾向。
黑色蒲公英老大,希望宫灯这种自组小游戏下一次可以自己调零件颜色，有些放上去还是太突兀了,希望宫灯这种自组小游戏下一次可以自己调零件颜色 有些放上去还是太突兀了,希望 宫灯 自组 小游戏 一次 零件 颜色 放上去 突兀,0,该评论提出了对游戏功能的改进建议，表达了希望宫灯小游戏能自定义零件颜色的愿望，并指出当前部分零件搭配存在突兀问题。虽然包含轻微批评，但整体语气平和，以建设性意见为主，无明显积极或消极情绪。
笛方花,飞鸟回还日下一章什么时候更新啊！！！,飞鸟回还日下一章什么时候更新啊,飞鸟 一章 更新,0,该评论询问下一章的更新时间，属于对作品进度的关注和期待，但没有使用明显的情感词汇表达喜爱或不满，整体态度较为客观中性。
777,之前没看这个视频还以为是新pv,之前没看这个视频还以为是新pv,之前 视频 以为 pv,0,该评论仅陈述了观看视频前的误解，表达了对内容性质的澄清，没有使用明显的情感词汇，也未表现出积极或消极的情绪倾向，属于中性表达。
黎安野柠.apple,快发PV,快发pv,快发 pv,0,该评论仅表达了对发布PV的催促或期待，没有使用明显的情感词汇，未体现强烈正面或负面情绪，属于中性表达。
夏以昼你的辟谷好大,pv呢！！！,pv呢,pv,0,该评论仅简短询问“pv呢”，未使用明显情感词汇，也未表达褒贬态度，属于中性询问或提醒，无明确情感倾向。
二月的风,今天刚有空拼，没想到是宫灯，真的漂亮精致！会变成藏品的吧,今天刚有空拼 没想到是宫灯 真的漂亮精致 会变成藏品的吧,今天 有空 没想到 宫灯 漂亮 精致 变成 藏品,1,评论中使用了“漂亮精致”、“藏品”等积极词汇，表达了对宫灯外观和品质的赞赏与喜爱，整体情感倾向明显为正面。
云阳ml,河南人上桌了,河南人上桌了,河南人 上桌,-1,该评论使用了带有地域歧视色彩的表述“上桌了”，暗含对河南人的贬低和刻板印象，容易引发负面联想和争议，整体情感倾向为负面。
W N109区迪8朵玫瑰🌰,秦彻新年快乐,秦彻新年快乐,秦彻 新年快乐,1,"该评论直接表达了对特定人物的新年祝福，""新年快乐""是典型的积极祝福用语，体现了友善和美好的祝愿，整体情感倾向为正面。"
